event,scenario,main_character,emotion1,emotion2,emotion3,emotion4,answer,context_type,flipped,gpt-3.5-turbo,meta-llama/Llama-3.2-1B-Instruct
Alex spent a lot of time thinking about the things he did wrong.,Alex spent a lot of time thinking about the things he did wrong the night before his big presentation.,Alex,Embarrassment,Sadness,Lonesomeness,Anxiety,Anxiety,time,Y,Embarrassment,Sadness
Alex spent a lot of time thinking about the things he did wrong.,Alex spent a lot of time thinking about the things he did wrong after a recent breakup.,Alex,Embarrassment,Sadness,Lonesomeness,Anxiety,Sadness,time,Y,Sadness,Lonesomeness
Casey paid the tab at dinner for friend.,"Casey, who is financially secure, paid the tab for a friend who recently lost their job.",Casey,Annoyance,Frustration,Sympathy,Admiration,Sympathy,agent,Y,Admiration,Frustration
Casey paid the tab at dinner for friend.,Casey paid the tab for a friend who forgot their wallet but habitually expects Casey to cover expenses.,Casey,Annoyance,Frustration,Sympathy,Admiration,Annoyance,agent,Y,Annoyance,Admiration
"Jordan gave Riley the letter, letting Riley know they were breaking up with them.","Jordan gave Riley the letter, letting Riley know they were breaking up with them infront of her friends in college classroom",Riley,Sadness,Embarrassment,Lonesomeness,Shame,Embarrassment,place,Y,Shame,Lonesomeness
"Jordan gave Riley the letter, letting Riley know they were breaking up with them.","Jordan gave Riley the letter, letting Riley know they were breaking up with them in a private place which  is  Riley's home",Riley,Sadness,Embarrassment,Lonesomeness,Shame,Sadness,place,Y,Sadness,Lonesomeness
Bailey was performing for a group. Bailey started to play.,"Bailey, a novice musician, was performing for a group of world-renowned composers. Bailey started to play.",Bailey,Pride,Intimidation,Serenity,Terror,Intimidation,agent,Y,Intimidation,Intimidation
Bailey was performing for a group. Bailey started to play.,"Bailey, a skilled pianist, was performing for a group of elementary school children. Bailey started to play.",Bailey,Pride,Intimidation,Serenity,Terror,Pride,agent,Y,Pride,Pride
Sasha cooked the deli food for her friends,"Sasha cooked the deli food for her friends, but one of the friends, but one of the friends brought an unexpected guest who turned out to be a professional chef.",Sasha,Joy,Gratitude,Anxiety,Embarrassment,Anxiety,agent,Y,Joy,Gratitude
Sasha cooked the deli food for her friends,"Sasha cooked the deli food for her friends, and one of the friends brought a bouquet of flowers as a surprise thank-you gift.",Sasha,Joy,Gratitude,Anxiety,Embarrassment,Gratitude,agent,Y,Joy,Gratitude
